PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715252891700,1.091244,0.1000004,0.7630512,0.04631871,0.517496,0.8526974,-0.05440643
1715252891720,1.091218,0.1000001,0.7630516,0.04624385,0.51751,0.8526945,-0.05438233
1715252891738,1.091187,0.1000001,0.763054,0.0461494,0.5175268,0.8526915,-0.05435094
1715252891756,1.091158,0.0999999,0.7630641,0.04602725,0.5175455,0.8526898,-0.05430082
1715252891772,1.091132,0.1000005,0.7630763,0.04590528,0.5175642,0.8526881,-0.05424918
1715252891788,1.091116,0.1000001,0.7630939,0.04577369,0.5175856,0.8526866,-0.0541822
1715252891803,1.091101,0.1,0.7631128,0.04563907,0.5176077,0.8526847,-0.05411408
1715252891817,1.0911,0.1000001,0.76314,0.04547762,0.5176368,0.8526822,-0.054014
1715252891834,1.091098,0.1000001,0.763166,0.04533035,0.5176637,0.8526791,-0.05392429
1715252891849,1.091108,0.1000004,0.7632012,0.04514978,0.5176969,0.8526765,-0.0537987
1715252891864,1.091118,0.1,0.7632365,0.04497936,0.5177287,0.8526738,-0.05367957
1715252891880,1.091133,0.1000004,0.7632737,0.04480797,0.5177582,0.8526728,-0.05355619
1715252891897,1.091151,0.1,0.7633165,0.04462152,0.5177892,0.8526722,-0.05342212
1715252891914,1.091174,0.1000003,0.7633632,0.04442711,0.5178139,0.8526756,-0.0532876
1715252891935,1.0912,0.1000001,0.7634124,0.04423327,0.5178347,0.8526813,-0.05315826
1715252891954,1.09124,0.1000001,0.7634724,0.04401213,0.5178464,0.852694,-0.05301807
1715252891970,1.091281,0.1000004,0.7635289,0.04381921,0.5178528,0.8527076,-0.05290201
1715252891986,1.091332,0.1000004,0.7635778,0.0436691,0.517849,0.8527228,-0.05281028
1715252892002,1.09138,0.1000003,0.7636248,0.04353446,0.517846,0.8527366,-0.05273221
1715252892016,1.091448,0.1000004,0.7636765,0.04340108,0.5178358,0.8527546,-0.05265089
1715252892031,1.091512,0.1000001,0.7637258,0.04328349,0.5178264,0.8527705,-0.05258324
1715252892046,1.091583,0.1000001,0.7637753,0.04317757,0.517807,0.8527911,-0.05252668
1715252892061,1.091658,0.1000001,0.7638282,0.04307439,0.5177842,0.8528131,-0.05247737
1715252892076,1.091733,0.1000001,0.7638807,0.04298449,0.5177569,0.8528364,-0.05244391
1715252892094,1.091811,0.1000004,0.7639351,0.04290131,0.5177296,0.8528587,-0.05241795
1715252892110,1.091895,0.1000003,0.7639958,0.04282435,0.5177073,0.8528776,-0.05239788
1715252892127,1.091973,0.1000004,0.7640526,0.04276861,0.5176943,0.8528888,-0.05238909
1715252892145,1.092057,0.1000003,0.7641122,0.04273007,0.5176919,0.8528923,-0.05238454
1715252892159,1.092153,0.1000004,0.7641778,0.04270796,0.5176998,0.8528884,-0.05238853
1715252892174,1.092229,0.1000001,0.7642278,0.04270442,0.5177105,0.8528817,-0.05239608
1715252892190,1.092312,0.0999999,0.7642784,0.04272048,0.5177238,0.8528723,-0.05240341
1715252892205,1.092407,0.1000004,0.7643353,0.04274309,0.5177369,0.8528627,-0.0524104
1715252892220,1.092499,0.1000004,0.7643822,0.04279245,0.5177498,0.8528517,-0.05242344
1715252892237,1.092597,0.0999999,0.7644345,0.04283952,0.5177613,0.8528416,-0.05243399
1715252892252,1.092715,0.0999999,0.7644824,0.0429347,0.5177734,0.8528272,-0.05247582
1715252892268,1.092816,0.1000001,0.7645248,0.04300937,0.5177816,0.8528164,-0.05250736
1715252892283,1.09293,0.1000001,0.7645646,0.04311514,0.5177893,0.8528027,-0.05256479
1715252892298,1.09304,0.1000001,0.7646017,0.04321175,0.5177949,0.8527911,-0.05261756
1715252892316,1.093152,0.1,0.7646371,0.04331815,0.5178019,0.8527777,-0.05267903
1715252892334,1.093276,0.1000003,0.7646734,0.04343081,0.5178077,0.8527644,-0.05274466
1715252892355,1.093389,0.1000001,0.7647032,0.0435471,0.5178156,0.8527496,-0.05280763
1715252892374,1.093521,0.1000005,0.7647329,0.04368033,0.5178238,0.8527337,-0.05287752
1715252892390,1.093628,0.1000001,0.764751,0.04380355,0.517832,0.8527188,-0.05293677
1715252892404,1.093717,0.1000001,0.7647607,0.0439026,0.5178376,0.8527073,-0.0529826
1715252892419,1.093795,0.1000001,0.7647636,0.04399588,0.5178424,0.8526973,-0.05302202
1715252892435,1.09388,0.1000001,0.7647603,0.04409301,0.5178462,0.8526875,-0.05306182
1715252892451,1.093953,0.1000003,0.7647498,0.04418721,0.5178515,0.8526771,-0.05309536
1715252892466,1.094029,0.1000001,0.7647313,0.04428082,0.5178561,0.8526676,-0.05312685
1715252892481,1.094094,0.0999999,0.7647048,0.04437088,0.5178726,0.8526515,-0.05315124
1715252892494,1.09416,0.1000004,0.7646673,0.04446198,0.517892,0.8526336,-0.05317254
1715252892508,1.094205,0.1000004,0.7646309,0.0445277,0.5179209,0.8526117,-0.05319005
1715252892525,1.094251,0.1000001,0.7645826,0.04459566,0.517961,0.8525825,-0.05320886
1715252892542,1.0943,0.1000001,0.7645128,0.04466835,0.5180107,0.852547,-0.05323222
1715252892559,1.094337,0.1,0.7644312,0.04472687,0.5180626,0.8525106,-0.05325943
1715252892575,1.094367,0.1000001,0.7643384,0.04477595,0.5181016,0.852483,-0.05328291
1715252892591,1.094383,0.1000004,0.7642521,0.04481185,0.5181174,0.8524702,-0.05330219
1715252892605,1.094398,0.1000001,0.7641645,0.04484862,0.5181156,0.8524685,-0.05331579
1715252892623,1.094401,0.0999999,0.7640904,0.04488457,0.5180727,0.8524923,-0.05331755
1715252892639,1.094404,0.0999999,0.7640079,0.04492509,0.5180144,0.8525261,-0.05331423
1715252892654,1.094401,0.1000001,0.7639248,0.04498344,0.517908,0.8525889,-0.05329805
1715252892670,1.094398,0.1000001,0.7638521,0.04503178,0.5178121,0.8526454,-0.05328098
1715252892686,1.094389,0.1000004,0.7637717,0.04509481,0.5176767,0.8527257,-0.05325721
1715252892701,1.09438,0.0999999,0.7636927,0.04515247,0.5175444,0.8528045,-0.05323118
1715252892717,1.094365,0.0999999,0.7636155,0.04520852,0.5174086,0.8528855,-0.05320943
1715252892736,1.094348,0.1000001,0.7635288,0.04526658,0.5172591,0.8529748,-0.05318272
1715252892753,1.094323,0.1000004,0.7634255,0.04532416,0.5170965,0.8530716,-0.05316304
1715252892772,1.094298,0.1000001,0.7633262,0.04537223,0.516949,0.8531594,-0.05314425
1715252892788,1.094261,0.1000004,0.7632066,0.04541127,0.5168151,0.8532391,-0.05313618
1715252892803,1.094228,0.1000001,0.7630975,0.04543976,0.5167062,0.853304,-0.05312787
1715252892821,1.094191,0.1000004,0.7629945,0.04545384,0.5166376,0.8533449,-0.05312407
1715252892836,1.094147,0.0999999,0.7628664,0.04546655,0.51656,0.8533917,-0.05311729
1715252892852,1.0941,0.1000004,0.762755,0.04546116,0.516513,0.8534205,-0.05311383
1715252892869,1.09405,0.1000001,0.762632,0.04545312,0.516462,0.8534521,-0.0531078
1715252892885,1.09399,0.1000006,0.7625072,0.04543331,0.5164217,0.8534775,-0.05310907
1715252892901,1.093934,0.1000004,0.762391,0.04541241,0.5163854,0.8535006,-0.05310862
1715252892917,1.093872,0.1000001,0.7622744,0.04538801,0.5163503,0.8535228,-0.05311943
1715252892935,1.093809,0.1000005,0.7621593,0.04536172,0.5163161,0.8535442,-0.05312958
1715252892952,1.093733,0.1000001,0.7620288,0.0453244,0.5162686,0.8535734,-0.05315228
1715252892973,1.093662,0.1000001,0.7619115,0.04528749,0.5162246,0.8536007,-0.0531728
1715252892989,1.093576,0.1000001,0.7617775,0.04523727,0.5161384,0.8536539,-0.05319792
1715252893004,1.093507,0.1000004,0.7616744,0.04519505,0.5160636,0.8537003,-0.05321518
1715252893019,1.093445,0.1000001,0.7615845,0.04515306,0.5159717,0.8537576,-0.05322554
1715252893036,1.093382,0.1,0.7614983,0.0451103,0.5158807,0.8538142,-0.05323447
1715252893050,1.093313,0.1000003,0.7614141,0.04505687,0.5157709,0.853883,-0.05323976
1715252893067,1.093251,0.1000001,0.761342,0.04500788,0.5156721,0.853945,-0.05324325
1715252893084,1.093172,0.1000004,0.7612638,0.0449408,0.5155778,0.8540052,-0.05324434
1715252893113,1.093089,0.1,0.7611809,0.04486762,0.5154862,0.8540646,-0.05324353
1715252893126,1.092941,0.1000004,0.7610418,0.04474959,0.5154163,0.8541133,-0.05323446
1715252893176,1.092873,0.1000004,0.7609774,0.04470392,0.5154054,0.8541228,-0.05322793
1715252893198,1.092617,0.1,0.7607299,0.04458083,0.515468,0.8540938,-0.05319345
