PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715252892605,1,1.602,0.912,0,0,0,1
1715252892623,1,1.602,0.912,0,0,0,1
1715252892639,1,1.602,0.912,0,0,0,1
1715252892654,1,1.602,0.912,0,0,0,1
1715252892670,1,1.602,0.912,0,0,0,1
1715252892686,1,1.602,0.912,0,0,0,1
1715252892701,1,1.602,0.912,0,0,0,1
1715252892717,1,1.602,0.912,0,0,0,1
1715252892736,1,1.602,0.912,0,0,0,1
1715252892753,1,1.602,0.912,0,0,0,1
1715252892772,1,1.602,0.912,0,0,0,1
1715252892788,1,1.602,0.912,0,0,0,1
1715252892803,1,1.602,0.912,0,0,0,1
1715252892821,1,1.602,0.912,0,0,0,1
1715252892836,1,1.602,0.912,0,0,0,1
1715252892852,1,1.602,0.912,0,0,0,1
1715252892869,1,1.602,0.912,0,0,0,1
1715252892885,1,1.602,0.912,0,0,0,1
1715252892901,1,1.602,0.912,0,0,0,1
1715252892917,1,1.602,0.912,0,0,0,1
1715252892935,1,1.602,0.912,0,0,0,1
1715252892952,1,1.602,0.912,0,0,0,1
1715252892973,1,1.602,0.912,0,0,0,1
1715252892989,1,1.602,0.912,0,0,0,1
1715252893004,1,1.602,0.912,0,0,0,1
1715252893019,1,1.602,0.912,0,0,0,1
1715252893036,1,1.602,0.912,0,0,0,1
1715252893050,1,1.602,0.912,0,0,0,1
1715252893067,1,1.602,0.912,0,0,0,1
1715252893084,1,1.602,0.912,0,0,0,1
1715252893113,1,1.602,0.912,0,0,0,1
1715252893126,1,1.602,0.912,0,0,0,1
1715252893176,1,1.602,0.912,0,0,0,1
1715252893198,1,1.602,0.912,0,0,0,1
