PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715252890834,0.9180558,0.1000004,0.7610033,-0.008280482,0.5178701,0.8547428,0.0340216
1715252890856,0.9181803,0.1000004,0.7609394,-0.008406172,0.5177239,0.8548263,0.03411466
1715252890875,0.9183343,0.1000004,0.7608612,-0.008563838,0.5175437,0.8549283,0.03424438
1715252890896,0.9184726,0.1000001,0.7607931,-0.008709882,0.5173842,0.8550187,0.03436651
1715252890913,0.9186215,0.1,0.7607224,-0.008862625,0.5172167,0.855113,0.03449804
1715252890929,0.9187446,0.1000003,0.7606668,-0.008989915,0.517086,0.8551866,0.03460132
1715252890944,0.9188555,0.1000003,0.7606207,-0.009098466,0.5169769,0.8552483,0.03468145
1715252890963,0.9189653,0.1000001,0.7605785,-0.009201272,0.5168767,0.8553051,0.03475055
1715252890981,0.9191048,0.1000005,0.7605321,-0.009312198,0.5167578,0.8553728,0.03481984
1715252891003,0.9192308,0.09999979,0.7604963,-0.009396642,0.5166577,0.8554305,0.03486845
1715252891022,0.9193848,0.1000004,0.7604643,-0.009462835,0.5165439,0.8554969,0.03490189
1715252891042,0.9195207,0.1000001,0.7604406,-0.009512279,0.5164486,0.8555527,0.03492868
1715252891064,0.9196688,0.1000001,0.7604241,-0.009533993,0.5163493,0.8556118,0.03494278
1715252891077,0.9198397,0.1000003,0.7604116,-0.009543613,0.5162345,0.8556805,0.03495662
1715252891100,0.9199432,0.1,0.7604082,-0.009538195,0.5161643,0.8557228,0.03496166
1715252891117,0.9200999,0.1,0.7604101,-0.009509346,0.5160549,0.8557892,0.03495768
1715252891135,0.9202284,0.1000001,0.7604162,-0.009475361,0.5159634,0.855845,0.03495058
1715252891157,0.9203423,0.0999999,0.7604311,-0.009414223,0.5158865,0.8558931,0.03492201
1715252891173,0.9204745,0.1000001,0.7604537,-0.009329484,0.5158023,0.8559463,0.03488255
1715252891192,0.9205591,0.1,0.76048,-0.009234503,0.5157622,0.8559741,0.03482603
1715252891211,0.9206557,0.1000001,0.7605155,-0.009108225,0.5157231,0.8560016,0.03475449
1715252891227,0.9207369,0.1000001,0.7605587,-0.008951726,0.5157056,0.8560175,0.03466527
1715252891242,0.9208001,0.1000004,0.7605975,-0.00880973,0.5156971,0.8560273,0.03458961
1715252891258,0.9208572,0.1000004,0.7606399,-0.008651399,0.5156952,0.856033,0.03450967
1715252891276,0.9209202,0.1000001,0.7606897,-0.008466128,0.5156962,0.8560382,0.03442067
1715252891296,0.9209805,0.1000001,0.7607447,-0.008258667,0.5157043,0.856039,0.03432526
1715252891317,0.9210451,0.1000001,0.7608067,-0.008024884,0.5157157,0.8560386,0.0342232
1715252891338,0.9211099,0.1000006,0.760873,-0.007774862,0.5157298,0.8560365,0.03412015
1715252891363,0.9211723,0.09999979,0.7609414,-0.007517588,0.5157465,0.8560327,0.03401993
